,user,text,favourite_count,retweet_count,created_at
179,elonmusk,@Kristennetten @la_lkm @tmrohan Is this happening a lot?,2194,110,2023-01-16 03:00:49+00:00
180,elonmusk,@mtaibbi Taibbi ftw,25195,1647,2023-01-16 02:59:17+00:00
181,elonmusk,@tmrohan Not for long,26793,933,2023-01-16 02:52:20+00:00
182,elonmusk,@BillFOXLA Does seem seriously off the rails,12938,794,2023-01-16 02:46:23+00:00
183,elonmusk,@jamesdouma Good rebuttal,5126,223,2023-01-16 01:45:29+00:00
184,elonmusk,@AKA_RealDirty @DavidSacks Concerning,26350,1971,2023-01-16 01:40:14+00:00
185,elonmusk,@TheBabylonBee 🤣🤣,27023,1087,2023-01-16 01:23:29+00:00
186,elonmusk,And that’s how we will land on Mars https://t.co/iSAUrbA0tX,169414,16767,2023-01-16 01:20:35+00:00
187,elonmusk,@Meinungsfreit8 @ShellenbergerMD This movie writes itself🍿,6143,724,2023-01-16 01:00:30+00:00
188,elonmusk,"@ShellenbergerMD I guess there’s value to having a mixed government &amp; commercial forum of some kind. WEF does kinda give me the willies though, but I’m sure everything is fine 👀.",40033,4277,2023-01-16 00:50:01+00:00
189,elonmusk,@ShellenbergerMD The S in ESG stands for Satanic,46288,9003,2023-01-16 00:47:06+00:00
190,elonmusk,@FelixSchlang @TSStarfish Will fix,4401,155,2023-01-16 00:39:04+00:00
191,elonmusk,@WholeMarsBlog Guess that’s just how it goes,15156,548,2023-01-16 00:37:59+00:00
